#Position (bp)	insert size
1684498.0	17758.27081308714
1698249.0	7768.04375
1712000.0	12039.912503977092
1725751.0	6175.745198463508
1739502.0	5518.767397521449
1753253.0	6039.017186505411
1767004.0	6490.17875569044
1780755.0	5662.821519795658
1794506.0	5516.658831211231
1808257.0	4418.896529354525
1822008.0	4858.3557476785145
1835759.0	5659.380162601626
1849510.0	6581.860443037975
1863261.0	10549.36765163297
1877012.0	6563.163127912999
1890763.0	901.5147347740668
1904514.0	4205.516570771001
1918265.0	4581.433301189329
1932016.0	7246.656650911546
1945767.0	4973.938972162741
1959518.0	8599.488672533233
1973269.0	9549.63300589391
1987020.0	4627.943431803897
2000771.0	3426.5684887459806
2014522.0	3240.857980456026
2028273.0	4095.5429662635265
2042024.0	3189.2352155028398
2055775.0	3725.0805687203792
2069526.0	6162.629468760441
2083277.0	5324.234738372093
2097028.0	5012.896551724138
2110779.0	4627.16822742475
2124530.0	4512.038638102525
2138281.0	2864.532125768968
2152032.0	6099.338677354709
2165783.0	2455.0592312539384
2179534.0	6637.171039182283
2193285.0	3632.969799796403
2207036.0	4562.374749498998
2220787.0	7443.357142857143
2234538.0	4960.395420369105
2248289.0	4555.790189873418
2262040.0	1967.74395029431
2275791.0	4572.997754250882
2289542.0	5093.539943938332
2303293.0	4074.539965095986
2317044.0	4614.997814207651
2330795.0	5447.851476342938
2344546.0	4074.366425746625
2358297.0	5044.02778561354
2372048.0	4519.579857851683
2385799.0	4767.812680115274
2399550.0	6936.589599341383
2413301.0	4404.549228458282
2427052.0	5835.623642943306
2440803.0	4572.377789446049
2454554.0	2615.508280638362
2468305.0	5520.486521682511
2482056.0	3019.797160528535
2495807.0	4892.522310619163
2509558.0	3586.5633299284987
2523309.0	1372.0050251256282
2537060.0	6152.585843373494
2550811.0	2624.0282450015866
2564562.0	1222.4316440777843
2578313.0	1579.0896168108777
2592064.0	3790.53561767358
2605815.0	3858.3657107616405
2619566.0	1731.636150921322
2633317.0	2620.758431824733
2647068.0	4034.021138669673
2660819.0	5408.716776221778
2674570.0	1510.9938151041667
2688321.0	3500.726524390244
2702072.0	7923.441736694678
2715823.0	1959.4570135746606
2729574.0	4164.844602609727
2743325.0	1721.6031654676258
2757076.0	4713.841329479769
2770827.0	3532.3886724602935
2784578.0	2078.6803693774204
2798329.0	2359.3897649509076
2812080.0	3101.3499276411
2825831.0	2665.7419354838707
2839582.0	2297.297042573936
2853333.0	2537.1724137931033
2867084.0	2235.158899494666
2880835.0	3514.7124892826523
2894586.0	3551.2610695802186
2908337.0	4385.64947016174
2922088.0	2934.6006835659355
2935839.0	2943.312429696288
2949590.0	3975.4740678441267
2963341.0	4083.709883398112
2977092.0	900.1220102123085
2990843.0	2986.85667752443
3004594.0	2533.800981461287
3018345.0	3339.872912317328
3032096.0	3771.0154671717173
3045847.0	3004.1195480819756
3059598.0	4016.1604644239355
3073349.0	2227.785325308111
3087100.0	1766.8106412005457
3100851.0	3106.8785563751317
3114602.0	3297.918961447679
3128353.0	4328.259810207745
3142104.0	2235.6645619573796
3155855.0	1816.8374176548089
3169606.0	1592.32683982684
3183357.0	3159.494853523357
3197108.0	3043.5024810655523
3210859.0	494.7479266147273
3224610.0	2067.0874841972186
3238361.0	1067.0745732255166
3252112.0	2837.409377570606
3265863.0	2588.732213179312
3279614.0	1745.0039950062421
3293365.0	1060.2505603985055
3307116.0	1161.2661596958176
3320867.0	1731.9446920052424
3334618.0	2039.6604767184035
3348369.0	1905.6474587245064
3362120.0	2384.4553640339595
3375871.0	1969.7595488336324
3389622.0	2117.8647872618117
3403373.0	1848.9936899862826
3417124.0	2429.3510611735333
3430875.0	1883.054763117677
3444626.0	1182.8145966709346
3458377.0	2153.1558859975216
3472128.0	656.559979581419
3485879.0	1843.2889872429055
3499630.0	699.2239596469104
