#Position (bp)	insert size
1450731.0	364.45378817929395
1464482.0	375.1254162042175
1478233.0	378.6270739064857
1491984.0	378.31056603773584
1505735.0	1218.3397435897436
1519486.0	367.19182652210174
1533237.0	358.0066484161126
1546988.0	361.3474195961107
1560739.0	362.43422584400463
1574490.0	368.9590891547665
1588241.0	1504.215953307393
1601992.0	361.9233637116819
1615743.0	363.57849961330237
1629494.0	368.3026719229085
1643245.0	361.4245875883739
1656996.0	363.74264120922834
1670747.0	1627.4648
1684498.0	360.45737373737376
1698249.0	362.9380053908356
1712000.0	366.1495145631068
1725751.0	363.4901880621423
1739502.0	366.78485436893203
1753253.0	363.9175382139984
1767004.0	366.6485839648983
1780755.0	363.9043372517227
1794506.0	362.5518828451883
1808257.0	359.2816229116945
1822008.0	362.0489260143198
1835759.0	366.64294003868474
1849510.0	363.58302169035153
1863261.0	1138.162162162162
1877012.0	453.8320941759603
1890763.0	361.2674418604651
1904514.0	452.7304625199362
1918265.0	345.65793528505395
1932016.0	365.68195586326266
1945767.0	1472.9604914478439
1959518.0	352.9249089016137
1973269.0	358.92537313432837
1987020.0	363.3267405063291
2000771.0	361.4730878186969
2014522.0	362.25452399685287
2028273.0	362.1845047923323
2042024.0	365.0590800951626
2055775.0	358.4739374498797
2069526.0	368.9632324779778
2083277.0	374.4773376888526
2097028.0	370.97133757961785
2110779.0	362.80347310461667
2124530.0	370.11473087818695
2138281.0	363.6089527027027
2152032.0	364.26376146788994
2165783.0	359.0077234277308
2179534.0	362.11102362204724
2193285.0	365.4414976599064
2207036.0	1466.3578990228013
2220787.0	358.1685998342999
2234538.0	357.55787401574804
2248289.0	365.87566947207347
2262040.0	364.80607476635515
2275791.0	377.8373676248109
2289542.0	361.49078341013825
2303293.0	362.44331395348837
2317044.0	363.0279307631786
2330795.0	361.863659401926
2344546.0	366.1157464212679
2358297.0	364.93675213675215
2372048.0	377.8576526566217
2385799.0	368.2521042084168
2399550.0	364.3615661206552
2413301.0	359.0451297480256
2427052.0	363.3392365210547
2440803.0	370.4579473879215
2454554.0	359.64731945059816
2468305.0	367.82620967741934
2482056.0	379.52363337443484
2495807.0	380.9861932938856
2509558.0	370.63548102383055
2523309.0	370.3973954222573
2537060.0	360.04911373707534
2550811.0	368.2181818181818
2564562.0	356.30778164924504
2578313.0	362.953212031192
2592064.0	367.3542296072508
2605815.0	353.7816303946883
2619566.0	358.4735841885215
2633317.0	372.236664162284
2647068.0	369.73813002191383
2660819.0	366.6285140562249
2674570.0	363.5640698169434
2688321.0	359.87909516380654
2702072.0	359.9047804119705
2715823.0	362.90095969289825
2729574.0	360.8371511870054
2743325.0	360.04528012279354
2757076.0	355.8202875399361
2770827.0	363.87418237783766
2784578.0	364.516573556797
2798329.0	358.3631498470948
2812080.0	365.77296296296294
2825831.0	366.8895544739798
2839582.0	370.24559341950646
2853333.0	366.77498121713
2867084.0	364.21589147286824
2880835.0	364.0718446601942
2894586.0	356.4054054054054
2908337.0	361.5226645644462
2922088.0	360.0966789667897
2935839.0	363.0072648020342
2949590.0	363.17403915881073
2963341.0	366.551954913702
2977092.0	359.44810606060605
2990843.0	360.17583239805464
3004594.0	1005.4489563567363
3018345.0	362.7411504424779
3032096.0	366.684384013185
3045847.0	1705.6819454163751
3059598.0	369.3268178264269
3073349.0	361.90241228070175
3087100.0	1223.9591467823573
3100851.0	358.8820224719101
3114602.0	365.6878551136364
3128353.0	359.08850493653034
3142104.0	369.6908885542169
3155855.0	418.30451796513694
3169606.0	359.1434628975265
3183357.0	362.1515151515151
3197108.0	362.29329004329
3210859.0	361.54897660818716
3224610.0	368.1992753623188
3238361.0	376.01579155151995
3252112.0	377.93634423897583
3265863.0	357.03650137741045
3279614.0	363.84071768582936
3293365.0	359.74874731567644
3307116.0	1467.5900482733011
3320867.0	363.1900034234851
3334618.0	363.5389465875371
3348369.0	390.51014109347443
3362120.0	364.5336879432624
3375871.0	429.79820006922813
3389622.0	1050.7052707063463
3403373.0	373.11854103343467
3417124.0	367.8396025550035
3430875.0	356.52044739601536
3444626.0	372.748382923674
3458377.0	361.51737967914437
3472128.0	360.9841381741276
3485879.0	355.9533767569421
3499630.0	362.58308157099697
3513381.0	362.4908579465542
3527132.0	613.3171947312211
3540883.0	358.1925701288855
3554634.0	360.88273829020636
3568385.0	441.77721433400944
3582136.0	365.01642091152814
3595887.0	365.06027017665394
3609638.0	366.88892640108037
3623389.0	358.84224688866465
3637140.0	365.88739556847077
3650891.0	353.2779339423753
3664642.0	363.70645724258287
3678393.0	362.3123609787099
3692144.0	360.77032040472176
3705895.0	372.07004310344826
3719646.0	369.28455856489626
3733397.0	366.30063965884864
3747148.0	367.2817513368984
3760899.0	1463.2039162727885
3774650.0	358.61574239713775
3788401.0	366.95846532910946
3802152.0	363.55319876838865
3815903.0	365.66198148782996
3829654.0	355.3872452333991
3843405.0	649.0182005494505
3857156.0	369.3562374916611
3870907.0	374.99296718017416
3884658.0	5552.040878584503
3898409.0	359.4177258673995
3912160.0	357.98148148148147
3925911.0	358.87434371718587
3939662.0	367.0188618925831
3953413.0	360.6356155365372
3967164.0	364.7109990545225
3980915.0	360.40281874795147
3994666.0	363.6919042936742
4008417.0	371.2327332242226
4022168.0	475.91953642384107
4035919.0	357.0554670066943
4049670.0	355.54831782390835
4063421.0	362.1766342141864
4077172.0	362.0522670025189
4090923.0	612.1633019291162
4104674.0	365.47873036649213
4118425.0	365.7642091588178
4132176.0	360.30828025477706
4145927.0	364.61277131173324
4159678.0	365.52323360916614
4173429.0	371.36993243243245
4187180.0	364.9643551523007
4200931.0	360.58164955283206
4214682.0	366.33760951188987
4228433.0	364.33420707732637
4242184.0	359.99302473050096
4255935.0	364.80889033095394
4269686.0	374.3071017274472
4283437.0	356.40301183219793
4297188.0	449.2240704500978
4310939.0	555.3489208633093
4324690.0	3768.3714285714286
4338441.0	363.75381585425896
4352192.0	363.168875192604
4365943.0	363.666260286498
4379694.0	362.6422764227642
4393445.0	356.8601199873697
4407196.0	369.0568835098336
4420947.0	372.6994019515266
4434698.0	364.798773006135
4448449.0	365.93333333333334
4462200.0	367.90143369175627
4475951.0	359.2821926694778
4489702.0	624.1805512542583
4503453.0	375.10683315990286
4517204.0	366.84502650452134
4530955.0	359.89272836538464
4544706.0	361.04019789734076
4558457.0	363.55080527086386
4572208.0	365.69433314253007
4585959.0	409.3535447761194
4599710.0	357.85453508271536
4613461.0	373.8303759398496
4627212.0	354.75258054426024
4640963.0	356.7591691009413
4654714.0	363.2732394366197
4668465.0	363.11943573667713
4682216.0	365.58705501618124
4695967.0	357.9176829268293
4709718.0	361.7157960199005
4723469.0	357.9671826625387
4737220.0	370.05612087573235
4750971.0	364.01879947229554
4764722.0	365.4304035032843
4778473.0	365.8427146992602
4792224.0	359.22557106598987
4805975.0	365.13118736714245
4819726.0	363.30956088445964
4833477.0	365.23208722741435
4847228.0	357.1015344433562
4860979.0	361.7834041163019
4874730.0	369.1834299352199
4888481.0	372.3508396946565
4902232.0	360.05653832813044
4915983.0	359.17642932304454
4929734.0	364.8027972027972
4943485.0	364.99396250397206
4957236.0	363.40434192673
4970987.0	368.4818652849741
4984738.0	365.0149544863459
4998489.0	361.3059508408797
5012240.0	366.62698660018697
5025991.0	365.1537252436341
5039742.0	356.1048997040447
5053493.0	361.06815326633165
5067244.0	370.4059829059829
5076613.5	366.5093966369931
5083489.0	0.0
5094746.0	355.28763769889844
5108497.0	340.6689138576779
5122248.0	364.0040609137056
5135999.0	59.0
5149750.0	0.0
5163501.0	0.0
5177252.0	0.0
5191003.0	0.0
5204754.0	213.90243902439025
5218505.0	0.0
5232256.0	284.82758620689657
5246007.0	0.0
5255740.0	0.0
5262615.5	364.20072239422086
5273509.0	0.0
5287260.0	0.0
5301011.0	0.0
5314762.0	0.0
5328513.0	0.0
5342264.0	312.65734265734267
5356015.0	0.0
5369766.0	0.0
5383517.0	69.84210526315789
5397268.0	0.0
5411019.0	19.0
5421994.0	0.0
5428869.5	375.29048207663783
5438521.0	297.2670558190441
5452272.0	354.85747747747746
5464002.0	336.8529806402147
5470877.5	578.9850746268656
5479774.0	373.65204246170384
5493417.0	375.6175662632712
